itemno;title;description;gallay title;gallay description
430088;earrings hearts diamond cut, 14K GOLD;This is a beautiful and sophisticated pair of heart ear studs. The surface is matte-finished and has a beautiful diamond cut. The pair is made of high-quality 14K gold.;earrings hearts diamond cut, 14K GOLD;
430090;Pendant, Small Dolphin, 9K Gold;Elegantly simple dolphin pendant for children or adults, for festivities or everyday life. Shiny golden surface and sophisticatedly shaped. 9K gold.;pendant, small dolphin, 9K GOLD;shiny
430092;;;earrings, studs with zirconias, 9K GOLD;
430096;NOSE SCREW, HORSESHOE, 18K GOLD,  NEW;;nose screw, horseshoe, 18K GOLD;
430098;nose screw, zirconia, 18K GOLD;This is a chic and sophisticated 18K golden nose piercing as a spiral. The spiral is 0.72mm thick. Gorgeous!;nose screw, zirconia, 18K GOLD;
430100;nose stud-bone, heart 1,5mm, 18K GOLD;This is a wonderful sophisticated nose piercing with a heart (1.5mm). Suitable for everyday life and chic on fancy occasions! 18K gold;nose stud-bone, heart 1,5mm, 18K GOLD;
430102;earrings small leafs, 8K GOLD;Neat and elegantly shaped ear studs with a small diamond cut and a dull surface. 8K gold;earrings small leafs, 8K GOLD;
430104;BROOCH, LEAF, 8K GOLD;;brooch, leaf, 8K GOLD;
430105;earrings ginkgo leaf, 8K GOLD;A charming pair of ginkgo leaf earrings (9mm) that are fashionable and classic at the same time. The surface is matte-finished and nicely carved. 8K gold;earrings ginkgo leaf, 8K GOLD;
430106;Pendant, Ginkgo Leaf, 9K Gold;A charming ginkgo leaf pendant that is fashionable and classic at the same time. The surface is matte-finished and nicely carved. 8K Gold;pendant ginkgo leaf, 9K GOLD;very small pendant
430108;pendant cross diamond cut, 9K GOLD;This is a delicate and sophisticated cross pendant with a chic diamond cut. Both sides are identically crafted. It is beautiful and suitable for any fancy occasion. 9K gold;pendant cross diamond cut, 9K GOLD;both sides are identical
430110;Pendant, Ginkgo Leaf, 12mm, 8K Gold;A charming ginkgo leaf pendant (12mm) that is fashionable and classic at the same time. The surface is shiny and nicely carved. 8K Gold;pendant ginkgo leaf 12mm, 8K GOLD;
430111;Hoop Earrings, 11mm, 9K Gold;This pair of hoop earrings is classic and elegant. The diameter of 11mm is not to small and not too large and therefore the pair of earrings is perfect for any occasion. 9K Gold.;hoop earrings 11mm, 9K GOLD;
430115;hoop earrings 15mm, 9K GOLD;A classic pair of hoop earrings which is simply suitable for any occasion. 15mm, 9K gold;hoop earrings 15mm, 9K GOLD;
430118;Stud Earrings, Ginkgo Leaf, 8K Gold;A charming pair of ginkgo leaf earrings that are fashionable and classic at the same time. The surface is dull and nicely carved. 8K Gold;earrings ginkgo leaf, 8K GOLD;
430119;pendant cross diamond cut, 9K GOLD;This is a delicate and sophisticated cross pendant with a chic diamond cut on the surface. The back is plain shiny. It is beautifully crafted and suitable for any fancy occasion. 9K gold;pendant cross diamond cut, 9K GOLD;
430135;Pendant, Oval Bead, 9K Gold;A beautiful pendant of 9K gold with an artificial pearl. The shape of the pendant is one of a drop. The oval pendant is timeless and classic. 9K Gold.;pendant, oval bead, 9K GOLD;
430136;Turtle Ear Studs - 9K Gold;A high qualitative pair of turtle earstuds. Perfect for girls and their little sensitive ears, as the material is 9K Gold. Even for adults this pair of earrings has a nice touch as it symbolizes longevity, endurance and strength.;earrings turtels, 9K GOLD;tha back is with bottom
430139;earrings, ladybird, red-black, 9K GOLD;This is an adorable pair of ear studs, shaped as small ladybirds with a black and red lacquered surface. Suitable for the young and the young at heart! 9K gold;earrings, ladybird, red-black, 9K GOLD;kids jewellery
430141;earrings horse head, 8K GOLD;Cute but elegant ear studs featuring a horse head. 8K Gold.;earrings horse head, 9K GOLD;tha back is with bottom
430142;earrings small leafs, 9K GOLD;A charming pair of leaf earrings that are fashionable and aethetic at the same time. 9K gold;earrings small leafs, 9K GOLD;
430143;BROOCH, GINKGO-LEAF, 8K GOLD;;brooch, ginkgo-leaf, 8K GOLD;
430146;pendant ginkgo leaf, 9K GOLD;A charming ginkgo leaf pendant (25mm) that is fashionable and classic at the same time. The surface is matte-finished and nicely carved. 9K gold;pendant ginkgo leaf, 9K GOLD;
430149;earrings garnet star, 9K GOLD;Elegantly fashionable, those garnet ear studs are a perfect accessory for any occasion. The star shape and the 9K gold edging provide for its chic design.;earrings granat star, 9K GOLD;synthetic stone
430156;Brooch 30mm, Ginkgo Leaf, 9K GOLD;A charming ginkgo leaf brooch (30mm) that is fashionable and classic at the same time. The surface is matte-finished and nicely carved. 9K Gold;brooch 30mm, ginkgo leaf, 9K GOLD;
430159;Hinged Hoop Earrings, 12mm x 3.7mm, 9K Gold;A wonderful pair of hinged hoop earrings. The double lined surface is matte finished. This pair of earrings is great for any occasion! 9K Gold.;hinged hoops, earrings 12x3,7mm 9K GOLD;
430161;earrings horse head, 7mm, 9K GOLD;Cute but elegant ear studs featuring a horse head. 7mm, 9K Gold;earstuds, horse head, 9K GOLD;app. 7mm
430166;Pendant, Fantasy with Zirconia, 8K Gold;A fine bi-coloured pendant of 8K Gold. The pendant is partly rhodium plated with small zirconia elements that are incorporated in the pendant. It would look great on a thin snake chain.;pendant fantasy with zirconia, 8K GOLD;
430167;Pendant, Fantasy with Zirconia. 8K Gold;A fine bi-coloured pendant of 8K Gold. The pendant is partly rhodium plated with small zirconia elements that are incorporated in the pendant. The gold side has a matte finished look. It would make a great accessory, wearing it on a thin snake chain.;pendant fantasy with zirconia, 8K GOLD;
430168;Earrings, Chain, Zirconia, 9K Gold;A beautiful pair of chain earrings that have a little zirconia attached to its end. The quality is great and the earrings will look stunnig for any occasion. 9K Gold.;earrings, chain with zirconia, 9K GOLD;
430169;pendant chinese symbol for love 9K GOLD;The Chinese symbol for LOVE! What could be more touching than giving such a beautiful pendant to your beloved... It is timeless and always an eye-catcher! 9K gold;pendant chinese symbol for love 9K GOLD;
430172;;;earrings studs, flower zirconia, 9k GOLD;
430175;;;pendant, flower with zirconias, 9K GOLD;
430180;earrings, studs, maple leaf, 9K GOLD;Sophisticatedly beautiful ear studs that are shaped as maple leafs with a shiny surface. 9K gold;earrings, studs, maple leaf, 9K GOLD;
430183;;;earrings pearl with zirconia, 9K GOLD;freshwater pearl
430184;earrings CZ and synth. ruby, 9K GOLD;A unique pair of 9K gold ear studs have an eye catching effect reasoned by its beautiful real-looking ruby. Suits for a simple black dress or fancy garments.;earrings CZ and synth. ruby, 9K GOLD;synthetic ruby
430185;;;earrings, butterfly zirconia, 9K GOLD;
430190;;;pendant, clover leaf, 9K GOLD;
430210;earrings small zirconia, 9K GOLD;Cute and shiny! Neat zirconia ear studs for every occasion. 9K gold;earrings small zirconia, 9K GOLD;
430216;;;earrings, cirles, zirconia, 9K GOLD;
430217;earrings horses, 9K GOLD;A gorgeous pair of ear studs featuring horses. 9K gold.;earrings horses, 9K GOLD;
430218;;;earrings, studs with zirconias, 9K GOLD;
430221;Pendant, Cross Diamond Cut, 9K Gold;A high quality jewellery piece with a timeless design. The pendant is made of 9K Gold and has a wonderful net pattern on the inner part. The border has a fine diamond cut. The pendant can serve as a great gift for babtism, communion or confirmation!;pendant cross diamond cut, 9K GOLD;
430223;pendant crucifix, 9K GOLD;This is a delicate and sophisticated cross pendant with the figure of Jesus on the surface. It is beautifully crafted, bicoloured and suitable for any fancy occasion. 9K gold;pendant, crucifix, 9K GOLD;Jesus figurine, rhodinized
430225;hoop earrings with dolphins, 8K GOLD;This is a classy and beautiful pair of shiny hoop earrings. The dolphins are matte-finished and the pair is chic and sophisticated! 8K gold;hoop earrings with dolphins, 9K GOLD;
430226;hoop earrings 14x5mm, 8K GOLD;A beautiful pair of creole hoop earrings, that look even greater with the diamond cut on the borders. Classic but extraordinary chic! 8K gold;hoop earrings 14x5mm, 9K GOLD;hinged hoop earrings, matt-diamond cut
430229;pendant heart with horse, 8K GOLD;This is a beautiful pendant shaped as a heart, surrounding the little horse in the middle. The surface is shiny and the horse is movable. 8K gold.;pendant heart with horse, 9K GOLD;the horse is movable
430230;pendant heart with doplhin, 8K GOLD;This is a beautiful pendant shaped as a heart, surrounding the little dolphin in the middle. The surface is shiny and the dolphin is movable. 8K gold.;pendant heart with doplhin, 9K GOLD;the dolphin is movable
430233;Nose Screw, Shooting Star, 18K Gold;Subtle but very decorative. Less is sometimes more! This little nose screw is featuring a shooting star and a spiral of 18K Gold. Great quality for a small price.;nose screw, shooting star, 18K GOLD;
430235;Nose Screw, Lune with Face, 18K Gold;Subtle but very decorative. This little nose screw is featuring a crescent moon and a spiral of 18K Gold. Great quality for a small price. Less is sometimes more!;nose screw, lune with face, 18K GOLD;
430236;earrings cats, 9K GOLD;Cute and cuddly! These little cat earrings are sophisticatedly and beautifully made and suitable for formal and informal occasions. 9K gold;earstuds cat, 9K GOLD;shiny and matt
430237;Pendant, Small Elephant, Zirconia, 9K Gold;A wonderful pendant featuring an elephant is a great accessory for little girls. The elephant symbolizes luck and strength. The 9K Gold pendant has a high quality and the surface is partly glossy, partly matte finished. The zirconia element makes the pendant shine out even more.;pendant small elephant zirconia, 9K GOLD;
430238;pendant cat, 8K GOLD;Elegantly simple cat pendant for children or adults, for festivities or everyday life. Dull  golden surface and sophisticatedly shaped. 8K gold.;pendant cat, 8K GOLD;small pendant
430241;Stud Earrings, Bears, 8K Gold;A sweet pair of stud earrings featuring a little bear.  The 8K Gold is well finished with a light wrought and matte finished surface.;earrings bears, 8K GOLD;
430246;pendant heart, bicolored, 9K GOLD;This delicate and sophisticated heart pendant is beautifully crafted with 5 zirconias and a bicoloured design. It is suitable for any occasion and will always be an eye catcher. 9K gold;pendant heart, bicolored, 9K GOLD;
430249;pendant small heart, 9K GOLD;This delicate and sophisticated heart pendant is beautifully crafted and has a shiny golden shape. It is suitable for any occasion and will always be an eye catcher. 9K gold;pendant small heart, 9K GOLD;
430251;;;pendant, horse with wing, 9K GOLD;bicoloured
