itemno;title;description;gallay-title;gallay-description
00364;;zeitloses Collier mit 8mm Kunststoffperlen rot-glänzend, Verschluss vergoldet mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Perle 8mm rot-glänzend, 45cm;zeitloses Collier mit 8mm Kunststoffperlen rot-glänzend, Verschluss goldfarbig mit Verlängerungskettchen und Perle als Abschluss
00366;;filigranes Strass-Set mit Steinen und ovalen Steinen, Kette 40cm plus Verlängerungskettchen 6cm, 1 Paar Ohrstecker 2x oval, etwa 30x9mm, Oberfläche anlaufgeschützt rhodiniert, kann daher dunkler erscheinen als auf dem Foto, nickelfrei;Set, Strasskette und Strass-Ohrstecker;filigranes Strass-Set mit Steinen und ovalen Steinen, Kette 40cm plus Verlängerungskettchen 6cm, 1 Paar Ohrstecker 2x oval, etwa 30x9mm, Oberfläche anlaufgeschützt rhodiniert, kann daher dunkler sein als auf dem Foto!
00367;;;Stecker, Hänger pink;-
00373;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche kobaldblau mit Gitter silber-matt, 48x37mm, an 2-fach Kordel blau, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Gitter, kobaltblau, Email;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche kobaldblau mit Gitter silber-matt, 48x37mm, an 2-fach Kordel blau, Verschluss silber-farbig mit Verlängerungskettchen
00379;;dekoratives Collier mit Kunststoff-Würfelperle 11x11mm lila-pink-schwarz-marmoriert kombiniert mit Kunststoff-Rädchen in altsilber, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Würfel, pink-grau-marmoriert;dekoratives Collier mit Kunststoff-Würfelperle 11x11mm lila-pink-schwarz-marmoriert kombiniert mit Kunststoff-Rädchen in altsilber, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00380;;;Clip, 22mm, Riss, braun-metallic;-
00381;;Collier mit muschelförmiger Kunststoffperle 29x17mm  beige-marmoriert-glänzend kombiniert mit ausgefallenen Kunststoff-Teilen in beige-marmoriert und horn-glänzend, 2-fach Kordel 0,6mm braun, längenverstellbar mittels Schiebeknoten, in Deutschland gefertigte Handarbeit;Kette, beige-horn-marmoriert-glänzend;Collier mit muschelförmiger Kunststoffperle 29x17mm  beige-marmoriert-glänzend kombiniert mit ausgefallenen Kunststoff-Teilen in beige-marmoriert und horn-glänzend, 2-fach Kordel 0,6mm braun, längenverstellbar mittels Schiebeknoten
00382;;Collier mit Kunststoff-Ring 57mm beige-braun-marmoriert glänzend, kombiniert mit farblich abgestimmten Kunststoffteilen in beige-braun braun-transparent und braun-seidig glänzend, Holzperlen finnische Tanne und nougatfarben, verbunden mit kupferfarbener Ankerkette, in Deutschland gefertigte Handarbeit;Kette, Ring beige-braun, kupferfarben;Collier mit Kunststoff-Ring 57mm beige-braun-marmoriert glänzend, kombiniert mit farblich abgestimmten Kunststoffteilen in beige-braun braun-transparent und braun-seidig glänzend, Holzperlen finnische Tanne und nougatfarben, verbunden mit kupferfarbenem Ankercollier aus Aluminium
00384;;dekoratives Strass-Set mit Kette und Strass-Stecker in Tropfenform, Glassteine kristall und Tropfen hellblau, Kette ca. 36cm plus Verlängerungskettchen etwa 10cm, Ohrstecker etwa 35x11mm, Oberfläche rhodiniert anlaufgeschützt, kann daher dunkler erscheinen als auf dem Foto, nickelfrei;Set, Strasskette Ohrstecker aqua-silber;dekoratives Strass-Set mit Kette und Strass-Stecker in Tropfenform, mit Steinen kristall, Kette ca. 36cm plus Verlängerungskettchen etwa 10cm, Ohrstecker etwa 35x11mm, Oberfläche rhodiniert anlaufgeschützt, kann daher dunkler sein als auf dem Foto!
00386;;;Ohrhaken, Scheibe kaffeebraun-seidig;-
00387;;Dieser absolut alltagstaugliche Ohrclip könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Die Oberfläche ist uneben, wie Sand und er ist grau eingefärbt. Aufgrund seiner beliebten Größe, 27x17mm und seiner schlanken Trapezform liegt er wunderbar am Ohr an. Ein Must-Have in der aktuellen Mode 2014!;Clip, Trapez, grau-barock;-
00392;;dekoratives Collier mit Kunststoffperlen in 8mm, 10mm und 12mm schwarz-glänzend, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Perlen, schwarz glänzend, 86cm;dekoratives Collier mit Kunststoffperlen in 8mm, 10mm und 12mm schwarz-glänzend, Verschluss silber-farbig
00393;;hochwertiges Collier mit Kunststoff-Würfel bernstein-beige-gelb-marmoriert 16x16mm, kombiniert mit farblich abgestimmten Kunststoff-Teilen in ocker, orange, bernsteinfarben und schildpatt, verbunden mit kupferfarbenen Ankercollier aus Aluminium, in Deutschland gefertigte Handarbeit;Kette, bernstein-kupfer-ocker-farbig;hochwertiges Collier mit Kunststoff-Würfel bernsteinfarbig-beige-gelb-marmoriert 16x16mm, kombiniert mit farblich abgestimmten Kunststoff-Teilen in ocker, orange, bernsteinfarbig und schildpatt, verbunden mit kupferfarbenen Ankercollier aus Aluminium
00395;;festliches Strass-Set mit Strasskette und Ohrstecker, dekorativen Blickfang bildet eine angedeutete Blüte, Kette ca. 35cm plus Verlängerungskettchen etwa 9cm, Ohrstecker etwa 48x7mm, Oberfläche rhodiniert anlaufgeschützt, kann daher dunkler erscheinen als auf dem Foto, nickelfrei;Set, Strasskette und Strass-Ohrstecker;dekoratives Strass-Set mit Glas-Steinen, Strasskette mit Ohrstecker, Kette ca. 35cm plus Verlängerungskettchen etwa 9cm, Ohrstecker etwa 48x7mm, Oberfläche rhodiniert anlaufgeschützt, kann daher dunkler sein als auf dem Foto!
00396;;sehr auffälliges Collier mit großen Kunststoffteilen, Rad 38mm rot seidig-glänzend, Kunststoffring rot verbunden mit Aluminium-Kettengliedern in silber-hell, komplettiert mit Baumwollkordel 1mm in rot, in Deutschland gefertigte Handarbeit;Kette, Weitpanzer, Rad rot-seidig;sehr auffälliges Collier mit großen Kunststoffteilen, Rad 38mm rot seidig-glänzend, Kunststoffring rot verbunden mit Aluminium-Kettengliedern in silber-hell, komplettiert mit Baumwollkordel 1mm in rot
00397;;Dieser alltagstaugliche Ohrclip könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Er ist jeansblau und grau und durch seine Marmorierung ist jedes Paar ein Unikat. Aufgrund seiner beliebten Größe, 27x17mm und seiner schlanken Trapezform liegt er wunderbar am Ohr an. Ein absolutes Must-Have zur aktuellen Jeansmode!;Clip, Trapez, jeansblau-marmoriert;-
00398;;sehr dekoratives Strass-Set als Halsband mit Glas-Steinen und Kugelkette, Länge ca. 29cm plus Verlängerungskettchen 8cm, Breite ca. 25mm - eng am Hals anliegend, 1 Paar Ohrstecker etwa 45x12mm, Oberfläche anlaufgeschützt rhodiniert, kann daher dunkler erscheinen als auf dem Foto,nickelfrei, Kugelkette-Lötstelle unterschiedlich groß- Handarbeit;Set, Strasskette und Strass-Ohrstecker;sehr dekoratives Strass-Set mit Glas-Steinen und Kugelkette, Länge der Halscolliers 29cm plus Verlängerungskettchen 8cm, Breite ca. 25mm - eng am Hals anliegend, 1 Paar Ohrstecker etwa 45x12mm, Oberfläche anlaufgeschützt rhodiniert, kann daher dunkler sein als auf dem Foto! Kugelkette-Lötstelle unterschiedlich groß - Handarbeit
00399;;Collier mit Kunststoffperlen 10mm bordeaux und schwarz im Wechsel, Verschluss vergoldet, in Deutschland gefertigte Handarbeit;Kette, Perlen 10, schwarz-bordeaux;Collier mit Kunststoffperlen 10mm bordeaux und schwarz im Wechsel, Verschluss vergoldet
00400;;Modisches Collier in aktuellen Farben weiß-grau-marmoriert, Kunststoffteile 23x16mm, kombiniert mit Kunststoff-Würfel transparent-kristall, auf 2-fach Draht silber-farbig kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck gewellt weiß-schwarz;Collier in aktuellen Farben weiß-schwarz-marmoriert, Kunststoffteile 23x16mm, kombiniert mit Kunststoff-Würfel transparent-kristall, 2-fach Draht silber-farbig kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen,  in Deutschland gefertigte Handarbeit
00401;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger aus Zinnguss mit aufgesetzten Ornamenten, 45x44mm, an 2-fach Kordel schwarz, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Viereck, si-schwarz matt;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger aus Zinnguss mit aufgesetzten Ornamenten, 45x44mm, an 2-fach Kordel schwarz, Verschluss silber-farbig
00408;;sehr dekoratives Collier für die mutige Trägerin, Aluminium-Weitpanzer 18mm breit in silber-hell kombiniert mit ausgefallenem Kunststoffteil 25x35mm in satt-rot und rot-marmoriert, in Deutschland gefertigte Handarbeit;Kette, Weitpanzer mit Perlen in rot;sehr dekoratives Collier für die mutige Trägerin, Aluminium-Weitpanzer 18mm breit in silber-hell kombiniert mit ausgefallenem Kunststoffteil 25x35mm in satt-rot und rot-marmoriert
00409;;hochmodisches Collier für die mutige Trägerin in aktueller Sommerfarbe rosa, Aluminium-Weitpanzer 12mm breit in silber-hell kombiniert mit großen ausgefallenem Kunststoffteil 25x35mm in satt-rosa und rosa-marmoriert,in Deutschland gefertigte Handarbeit;Kette, Weitpanzer hellgrau-matt, rosa;hochmodisches Collier für die mutige Trägerin in aktueller Sommerfarbe rosa, Aluminium-Weitpanzer 12mm breit in silber-hell kombiniert mit großen ausgefallenem Kunststoffteil 25x35mm in satt-rosa und rosa-marmoriert
00410;;;Kette, Scheibe mit Gitter schwarz;Kunststoff-Anhänger, 35mm silber-farbig und schwarz an 2-fach Kordel schwarz, Verschluss silber-farbig mit Verlängerungskettchen
00411;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche oliv-grün-gold, Rückseite gold-farbig, 45mm, an 2-fach Kordel oliv, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Blume, oliv-gold, Email;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche oliv-grün-gold, Rückseite gold-farbig, 45mm, an 2-fach Kordel oliv, Verschluss gold-farbig mit Verlängerungskettchen
00413;;Absolutes Trend-Accessoires in diesem Herbst und Winter ist dieses Collier mit kunstvoll gefertigtem Metallanhänger aus Guss. Der äußere Rahmen ist silber-matt und der im Innern verschlungene Draht vergoldet. Die 2-fach Baumwollkordel schwarz legt sich weich am Hals an und ist angenehm zu tragen. Der silberfarbige Verschluss bietet mit dem Verlängerungskettchen vielfältige Tragemöglichkeiten. Der Schmuck wird traditionell in unserer eigenen Herstellung gefertigt.;Kette, Platte bicolor;Collier mit kunstvoll gefertigtem Metallanhänger aus Guss, bicolor, 39x39mm, an 2-fach Kordel schwarz, Verschluss silber-farbig mit Verlängerungskettchen
00418;;;Sternzeichen-Satz, ausgestanzt, vgo;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldetes Sternzeichen - Fische -, ausgestanzt in hochwertiger Qualität, mit kleiner Öse, nur als Set á 12 Stück
00420;;;Kette, 3x Viereck gewellt weiß-grau;-
00421;;Collier mit ausgefallenen Kunststoffteilen -Pillow- 24x17mm abwechselnd in weiß und schwarz, auf Stahldraht weiß und schwarz kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck schwarz-weiß glänzend;Collier mit ausgefallenen Kunststoffteilen -Pillow- 24x17mm abwechselnd in weiß und schwarz, auf Stahldraht weiß und schwarz kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00422;;sehr dekoratives Collier für die mutige Trägerin in aktueller Sommerfarbe flieder, Aluminium-Weitpanzerkette 12mm breit in silber-hell kombiniert mit ausgefallenem Kunststoffteil 25x35mm in flieder-marmoriert und Kunststoffteile in kristall-transparent, in Deutschland gefertigte Handarbeit;Kette, Weitpanzer, flieder-marmoriert;sehr dekoratives Collier für die mutige Trägerin in aktueller Sommerfarbe flieder, Aluminium-Weitpanzerkette 12mm breit in silber-hell kombiniert mit ausgefallenem Kunststoffteil 25x35mm in flieder-marmoriert und Kunststoffteile in kristall-transparent
00423;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche und eingearbeiteten Kiesel auf Dreieck gold-farbig, 37x34mm, an 2-fach Kordel braun, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Dreieck gold, Perlmutt weiß;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche und eingearbeiteten Kiesel auf Dreieck gold-farbig, 37x34mm, an 2-fach Kordel braun, Verschluss gold-farbig mit Verlängerungskettchen
00425;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche in schwarz-weiß, Rückseite gold-farbig, 34x28mm, an 2-fach Kordel schwarz, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Borke, schwarz-weiß-gold, Email;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche in schwarz-weiß, Rückseite gold-farbig, 34x28mm, an 2-fach Kordel schwarz, Verschluss gold-farbig mit Verlängerungskettchen
00426;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche in schilfgrün kombiniert mit lila, Rückseite gold-farbig, an 2-fach Kordel dunkelgrün, Verschluss goldfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck, grün-lila-gold, Email;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche in schilfgrün kombiniert mit lila, Rückseite gold-farbig, an 2-fach Kordel dunkelgrün, Verschluss goldfarbig mit Verlängerungskettchen
00427;;Diese Modeschmuck-Kette passt hervorragend zur aktuellen Herbst- und Wintermode. Verschiedene Kunsttoffteile in Rot-Tönen sind geschmackvoll kombiniert. Blickfang bildet die hellrote Perle in der Mitte. Sie hat kleine, regelmäßige Risse in der Oberfläche und die Farbe wird an den Seiten heller. Komplettiert wird die Kette mit 2-fach Kordel rot, der Verschluss ist silberfarbig mit Verlängerungskettchen.;Kette, Rissperle hellrot;-
00429;;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger aus Zinnguss, bicolor, 60x19mm, an 2mm Kordel schwarz, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Gitter mit Schlange, kristall;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger aus Zinnguss, bicolor, 60x19mm, an 2mm Kordel schwarz, Verschluss silber-farbig mit Verlängerungskettchen
00433;;Collier mit Kunststoffteil -Pillow- 24x17mm in weiß und schwarz, kombiniert mit gebogenem Rohr 24mm lang in weiß-matt, verbunden mit Aluminium-Ankerkette 8mm breit in schwarz, in Deutschland gefertigte Handarbeit;Kette, schwarz-weiß, Ankerkette;Collier mit Kunststoffteil -Pillow- 24x17mm in weiß und schwarz, kombiniert mit gebogenem Rohr 24mm lang in weiß-matt, verbunden mit Aluminium-Ankerkette 8mm breit in schwarz
00434;;wunderschöne Modeschmuck-Kette passend zur aktuellen Herbst- und Wintermode, verschiedene Kunststoff-Teile in Rot-Tönen sind kombiniert mit kleinen silberfarbig überzogenen Schneckenperlen, Blickfang bildet ein kleiner facettierter Flachkegel aus Kunststoff in rot, der an einer kleinen Walze befestigt ist, auf 2-fach Stahldraht silber-farbig, kunstoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Flachkegel rot-transparent;
00439;;Collier mit kunstvoll gefertigtem Metallanhänger mit emaillierter Oberfläche, rot und beige geflammt, 39x40mm, an 2mm Kordel rot, Verschluss gold-farbig, in Deutschland gefertigte Handarbeit;Kette, Dreieck, rot-beige-gold, Email;Collier mit kunstvoll gefertigtem Metallanhänger mit emaillierter Oberfläche, rot und beige geflammt, 39x40mm, an 2mm Kordel rot, Verschluss gold-farbig
00441;;Collier mit ausgefallenen Kunststoffteilen 24x17mm in rot seidig-glänzend, kombiniert mit Aluminium-Ankerkette in schwarz;Kette, Pillow, rot seidig-glänzend;Collier mit ausgefallenen Kunststoffteilen 24x17mm in rot seidig-glänzend, kombiniert mit Aluminium-Ankerkette in schwarz
00451;Krawatten-Schieber, vergoldet, mit CZ;vergoldet-matt, Zirkonia. Gehämmerte Oberfläche, 65x6mm.;Krawatten-Schieber, vergoldet, mit CZ;vergoldet-matt, Zirkonia
00452;;Blickfang dieser modischen Modeschmuck-Kette bildet eine Spiralperle aus Kunststoff in wunderschönem dunkelrot, kombiniert wird sie mit kleinen facettierten Kunststoff-Teilen sowie leicht metallic schimmernden Kunststoff-Röhrchen, alle Teile sind in Rot-Tönen aufeinander abgestimmt, auf 2-fach Stahldraht silber-farbig, kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Spiralperle dunkelrot;-
00456;;Diese tolle Modeschmuck-Kette komplettiert Ihre Herbst- und Wintergarderobe! Hier werden Kunststoffteile in ausgefallenen Formen in den Farben rot und schwarz miteinander kombiniert. Ein besonderer Eyecatcher ist die Perle in der vorderen Mitte, die an einen gebrochenen Kieselstein erinnert, mit 2-fach Stahldraht rot, kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Kieselstein rot-schwarz auf Draht;-
00460;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm gelb-weiß-marmoriert, durch verschiedene Farbdetails jedes Teil ein Unikat! an 4-fach Kordel 1mm gelb und 2-fach Kordel 0,6mm hellgelb, Verschluss vergoldet mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen gelb-marmor;zeitloses Collier mit Kunststoff-Teil 54x19mm in gelb-weiß-marmoriert, 1-fach Kordel 1,0mm gelb und 2-fach hellgelb, jedes Teil ein Unikat! Verschluss gold-farbig mit Verlängerungskettchen
00462;;Dieses zeitlose Collier mit Kunststoff-Anhänger könnte sich schnell zu IHREM Lieblingsstück entwickeln. Der Kunststoffanhänger flaches Rohr ist 54x19mm groß, wunderschön grün-marmoriert metallic-glänzend und jedes Teil ist durch verschiedene Farbdetails ein Unikat! Die Baumwollkordel ist farblich perfekt auf den Anhänger abgestimmt,  2-fach Kordel dunkelgrün und 2-fach Kordel oliv. Der vergoldete Verschluss bietet mit dem Verlängerungskettchen vielfältige Tragemöglichkeiten. Der Schmuck wird traditionell in unserer eigenen Herstellung gefertigt.;Kette, Rohr flach-gebogen grün-metalic;zeitloses Collier mit Kunststoff-Teil 54x19mm in grün-marmoriert metallic-glänzend, jedes Teil ein Unikat! 1-fach Kordel 1,0mm dunkelgrün und 1-fach Kordel 2,7mm oliv,  Verschluss gold-farbig mit Verlängerungskettchen
00463;;;Ohrhaken, Schrägperle, schwarz-glänzend;Ohrhaken mit Kunststoff-Schrägperle 20x15mm in schwarz-glänzend, Haken aus Messing weißbronce
00466;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm dunkelrot-marmoriert, durch verschiedene Farbdetails jedes Teil ein Unikat! an 6-fach Kordel 1 mm rot, Verschluss vergoldet mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen, dunkelrot;zeitloses Collier mit Kunststoff-Teil 54x19mm in dunkelrot-marmoriert, jedes Teil ein Unikat! 2-fach Kordel 1,0mm dunkelrot und 2-fach Kordel 2mm, Verschluss gold-farbig mit Verlängerungskettchen
00468;;Collier mit kleinem Elefant aus Kunststoff, 38x28mm, altmessing an 2-fach Kordel schwarz, Verschluss gold-farbig mit Verlängerungskettchen, Der Elefant symbolisiert Weisheit, Klugheit, Geduld, Stärke, Güte und Hingabe. Er gilt außerdem als Glücksbringer für Liebende und verheißt eheliches Glück aufgrund seines sehr treuen Wesens.;Kette, Elefant altmessing schwarz-gold;kleiner Elefant aus Kunststoff, 38x28mm, altmessing an 2-fach Kordel schwarz, Verschluss gold-farbig mit Verlängerungskettchen
00471;;Collier für die mutige Trägerin in grau und schwarz, große Kunststoffteile in schwarz verbunden mit Aluminium-Panzerkette 13mm breit in grau-matt, in Deutschland gefertigte Handarbeit;Kette, schwarz, Weitpanzer grau-matt;Collier für die mutige Trägerin in grau und schwarz, große Kunststoffteile in schwarz verbunden mit Aluminium-Panzerkette 13mm breit in grau-matt
00472;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm rot-marmoriert, leicht schwarz durchzogen, durch verschiedene Farbdetails jedes Teil ein Unikat! an 2-fach Kordel 1,3mm rot und 2-fach 1,0mm rot, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen rot-marmor;zeitloses Collier mit Mittelteil Kunststoff 54x19mm rot-marmoriert, leicht schwarz durchzogen, jedes Teil ein Unikat! Kordel 1,3mm rot und Kordel 1mm rot, Verschluss silberfarbig mit Verlängerungskettchen
00478;;dekoratives Collier mit Kunststoff-Teilen in petrol-seidig-glänzend kombiniert mit kleinen Kunststoff-Teilen in silber-glänzend, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck petrol-seidig auf Draht;dekoratives Collier mit Kunststoff-Teilen in petrol-seidig-glänzend kombiniert mit kleinen Kunststoff-Teilen in silber-glänzend, auf 2-fach Draht silberfarbig, kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen
00479;;sommerliches Collier mit verschiedenen dekorativen Kunststoff-Teilen in türkis und aqua transparent, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Blumenperle türkis, aqua;sommerliches Collier mit verschiedenen dekorativen Kunststoff-Teilen in türkis und aqua transparent, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00480;;sommerliches Collier mit dekorativen Kunststoff-Teilen in stahlblau-weiß-marmoriert kombiniert mit kleinen Kunststoffperlen in silber-glänzend, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck gewellt stahlblau-weiß;sommerliches Collier mit dekorativen Kunststoff-Teilen in stahlblau-weiß-marmoriert kombiniert mit kleinen Kunststoffperlen in silber-glänzend, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00482;;Wenn Einer eine Reise tut.... Dieser lustige Clown wird Sie überhallhin begleiten, sein kleines Köfferchen hat er auch schon in der Hand! Die Figur ist aus Kunststoff mit altmessing- und altsilber-farbigen Überzug, galvanisch. Er hängt an einer schwarzen Baumwollkordel. Die viel zu großen Clownsschuhe hängen an kurzen Kordel-Beinchen und schlenkern bei jeder Bewegung hin und her.In Deutschland gefertigte Handarbeit;Kette, Clown, amess-asi bicolor, sw;altmessing-altsilber-schwarz
00484;;putziger Anhänger detaillgetreue Nachbildung eines Igel, aus Kunststoff-Teilen, Hose schwarz-matt und restliche Teile altmessing-farbig galvanisch, in Deutschland gefertigte Handarbeit;Kette, Igeltier mit Hose amess sw-matt;Kordel schwarz, Igeltier altmessing mit Hose schwarz-matt
00489;;Brisur vergoldet mit Elefant aus Kunststoff oliv-glänzend, nickelfrei. Der Elefant symbolisiert Weisheit, Klugheit, Geduld, Stärke, Güte und Hingabe. Er gilt außerdem als Glücksbringer für Liebende und verheißt eheliches Glück aufgrund seines sehr treuen Wesens.;Brisur, Elefant mini, oliv gold-farbig;Elefant aus Kunststoff oliv-glänzend, Brisur vergoldet
00490;;sommerliches Collier mit verschiedenen dekorativen Kunststoff-Teilen in türkis-matt und türkis-transparent, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, türkis-aqua-transparent;sommerliches Collier mit verschiedenen dekorativen Kunststoff-Teilen in türkis-matt und türkis-transparent, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00492;;Tolle Modeschmuck-Kette in verschiedenen Rot-Tönen für Ihre Sommergarderobe, auch für die jugendliche Trägerin zur Festmode - Jugendweihe oder ABI-Ball -  passend! Ausgefallene Kunststoffteile in Dreieckform wurden mit einer kleinen, metallic glänzenden 6mm Perle kombiniert, auf 2-fach Stahldraht rot, kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, 3x Dreieckperle rot;-
00495;;Collier mit Kunststoff-Anhänger braun-beige-marmoriert, jedes Teil ein Unikat, auf 6-fach Kordel braun, Verschluss goldfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Trapez beige marm matt, gold;Collier mit Kunststoff-Anhänger braun-beige-marmoriert, jedes Teil ein Unikat, auf 6-fach Kordel braun, Verschluss goldfarbig mit Verlängerungskettchen
00496;;;Ohrhaken, vergoldet mit Perle;-
00497;;;Ohrhaken, Stab, vergoldet;-
00500;;dekoratives Collier mit Olivenperlen aus Kunststoff in rot und schwarz, Oberfläche glänzend mit Rillen auf 2-fach Kordel 0,6mm schwarz, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Rillenolive rot-schwarz;2-fach Kordel 0,6mm in schwarz, Olivenperle aus Kunststoff in rot und schwarz, Oberfläche glänzend mit Rillen, Verschluss silber-farbig
00501;;;Kette, Rillenolive braun-beige, si-fbg;2-fach Kordel 0,6mm in braun, Olivenperle aus Kunststoff in braun-beige und beige,  Oberfläche mit Rillen, Verschluss silber-farbig
00502;;2-fach Kordel 6mm in schwarz, Olivenperle aus Kunststoff in schwarz-glänzend und weiß-marmoriert-matt, Oberfläche glatt oder mit Rillen, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Rillenolive schwarz-weiß;2-fach Kordel 6mm in schwarz, Olivenperle aus Kunststoff in schwarz-glänzend und weiß-marmoriert-matt, Oberfläche glatt oder mit Rillen, Verschluss silber-farbig
00504;;Sehr schöne Modeschmuck-Kette mit Kunststoffteilen die einer langgezogenen Olive ähneln in einem tollen leuchtenden rot und schwarz kombiniert. auf Stahldraht rot und schwarz, kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Olive schwarz, Rillenolive rot;-
00506;;Tolle Halskette mit einer Kombination aus hochwertig gefertigten Glasteilen in wunderschön leuchtenden Rot und facettierter Perle kristall, silber-verspiegelt. Der weiche Stahldraht ist kunstoffummantelt rot und schmiegt sich angenehm am Hals an. Verschluss ist silberfarbig und mit einem Verlängerungskettchen bieten sich vielfältige Tragemöglichkeiten. Ein besonderer Eyecatcher zu femininer Herbst- und Wintermode! Wie gewohnt traditionell aus eigener Herstellung.;Kette, Glasperle rot-geflammt, Draht;-
