itemno;title;description;gallay-title;gallay-description
70576;;Ein tolles Geschenk zur Geburt eines Mädchens! Diese Tischdekoration Babyschuhe hat einen großen geschliffenen rosa Glas-Kristall eingearbeitet der wunderschön in der Sonne funkelt, die Oberfläche ist gold-plattiert. Das Band um die Schuhspitze hat 5 kleine Blümchen die als Blüte einen kleinen Glas-Kristall eingearbeitet haben. Das Riemchen hat 6 kleine Glas-Kristalle eingearbeitet. Verbunden sind die beiden hochwertigen Schuhe mit einem rosa Satinband. Dieses besondere Accessoires wird sie immer an einen besonderen Augenblick erinnern!;1 Paar Babyschuhe, mit Glas-Steinen;Artikel mit Kristall-Glas rosa, gold-plattiert, verbunden mit rosa Satinband
70577;;Ein tolles Geschenk zur Geburt eines kleinen Jungen! Diese Tischdekoration Babyschuhe hat einen großen geschliffenen hellblau Glas-Kristall eingearbeitet der wunderschön in der Sonne funkelt, die Oberfläche ist gold-plattiert. Das Band um die Schuhspitze hat 5 kleine Blümchen die als Blüte einen kleinen Glas-Kristall eingearbeitet haben. Das Riemchen hat 6 kleine Glas-Kristalle eingearbeitet. Verbunden sind die beiden hochwertigen Schuhe mit einem hellblauen Satinband. Dieses besondere Accessoires wird sie immer an einen besonderen Augenblick erinnern!;1 Paar Babyschuhe, mit Glas-Steinen;Artikel mit Kristall-Glas hellblau, gold-plattiert, verbunden mit hellblauem Satinband
70578;;;Liegender Engel - mit Glas-Steinen;-
70579;;;Kleines Flugzeug, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Propeller beweglich
70580;;;Pendel mit 2 kleinen Flugzeugen;Artikel mit Kristall-Glas, die Pendel rotieren 360 Grad um Ständer, Propeller beweglich, gold-plattiert
70581;;;Stern, gold-plattiert, Glas Stein;zum Aufhängen mit 50mm Kette, gold-plattiert, Artikel mit Kristall-Glas
70582;;;Stern, silber-plattiert, Glas Stein;zum Aufhängen mit 50mm Kette, Silber plattiert, Artikel mit Kristall-Glas
70583;;;Engel, bordeaux Glas, gold-plated;Artikel mit Kristall-Glas, gold-plattiert
70586;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Fische (pisces) 20. Februar - 20. März, Oberfläche gold-plattiert mit je einem großen geschliffenen Glas-Kristall in jedem Fischkörper, auf einem Ständer in der Form einer Wasserwelle;Sternzeichen, Fische, gold-plattiert;Artikel mit Kristall-Glas, gold-plattiert
70587;;Diese hochwertig gearbeitete Nachbildung einer Eule ist verziert mit 3 großen geschliffenen Glas-Kristallen die dezent im Licht funkeln. Die Oberfläche ist gold-plattiert und der Zweig ist mit hochwertiger Emaillie überzogen. Ein tolles Geschenk für einen besonderen Menschen und ein begehrtes Sammlerobjekt. Die Eule gilt weitverbreitet als Sinnbild der Weisheit.;Eule, auf emailliertem Zweig, Glas;Artikel mit Kristall-Glas, gold-plattiert
70590;;Majästetisch sitzt sie da und beobachtet was IHRE MENSCHEN in IHREM REICH so treiben! Wunderschöne Tischdekoration Katze mit 4 großen geschliffenen Glas-Kristallen die in der Sonne in allen Regenbogenfarben funkeln. Die Katzenaugen sind hier nicht grün sondern kleine weiße Glas-Kristalle, aber sie funkeln wie bei einer echten Katze. Die Oberfläche ist gold-plattiert.;Katze mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70591;;Diesem hochwertigen Tischschmuck, Nachbildung eines Saxophon, können Sie bestimmt keinen Ton entlocken, aber es besticht allein durch seine feinen Details wie ausgeprägte Klappen, kleine eingearbeitete geschliffene Glas-Kristalle und zwei große geschliffene Glas-Kristalle und nicht zuletzt, ganz stilecht, der kleine Saxophonständer. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk, nicht nur für Musikliebhaber und ein begehrtes Sammlerstück!;Saxophon mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70593;;;Herz mit Schmetterling;Artikel mit Kristall-Glas rot, silber-plattiert, anlaufgeschützt
70595;;;Laterne, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70596;;;Wunschbrunnen, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70597;;;Bonbon, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70598;;;Damenhandtasche, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70599;;Wer träumt nicht von der Stadt der Liebe! Diese hochwertige, detailverliebte Nachbildung des Eiffelturmes, Wahrzeichen der französischen Hauptstadt Paris, ist gold-plattiert und mit 4 großen und 16 kleinen geschliffenen Glas-Kristallen verziert, die dezent in der Sonne funkeln.;Eiffelturm, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70601;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Steinbock (capricorn) 22. Dezember - 20. Januar, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Steinbock, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70602;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Wassermann (aquarius) 21. Januar - 19. Februar, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Wassermann, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70603;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Fische (pisces) 20. Februar - 20. März, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Fische, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70604;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Widder (aries) 21. März - 20. April, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Widder, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70605;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Stier (taurus) 21. April - 20. Mai, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Stier, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70606;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Zwillinge (gemini) 21. Mai - 21. Juni, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Zwillinge, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70607;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Krebs (cancer) 22. Juni  - 22. Juli, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Krebs, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70608;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Löwe (leo) 23. Juli - 23. August, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Löwe, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70609;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Jungfrau (virgo) 24. August - 23. September, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, die Dame sitzt fest auf ihrem Sockel;Jungfrau, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70610;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Waage (libra) 24. September - 23. Oktober, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf ihrem Sockel;Waage, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70611;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Skorpion (scorpio) 24. Oktober - 22. November, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Skorpion, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70612;;Ein besonderes Geschenk für einen besonderen Anlass! hochwertig gearbeitetes Sternzeichen Schütze (sagittarius) 23. November - 21. Dezember, Oberfläche gold-plattiert mit einem großen geschliffenen Glas-Kristall, steht fest auf seinem Sockel;Schütze, Sternzeichen Glas;Artikel mit Kristall-Glas, gold-plattiert
70616;;Wie romantisch, diese wunderschöne Kutsche darf auf keiner Hochzeitstafel fehlen! 7 geschliffene Glas-Kristalle verzieren dieses detailverliebt gearbeitete Stück. Die Räder sind beweglich. Es scheint fasst, als ob das Pferd schon loslaufen möchte um sich in seiner ganzen Schönheit aller Welt präsentieren zu können. Diese Kutsche mit dem stattlichen Pferd ist gold-plattiert. Nicht nur ein ausgefallenes Dekorationsobjekt, sondern auch ein begehrtes Sammlerstück.;Kutsche mit Pferd, Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich
70617;;;Blumenkorb, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Blumen herausnehmbar
70618;;;Motorroller mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich
70619;;;Einhorn mit Glas-Steinen;Glassteine kristall, Wiese emailliert bemalt
70620;;;Bilderrahmen mit Spiegel-Stellfläche;Fotorahmen 50x76mm mit gold-plattierter Rose, passend für Foto 9x13, Spiegelfläche passend für alle Glas-Tisch-Dekorations-Artikel, anlaufgeschützt silber-plattiert
70621;;;Schwein mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70622;;;Kreuz, mit Glas-Steinen;Artikel mit Kristall-Glas, silber-plattiert anlaufgeschützt
70623;;;Eichhörnchen mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70624;;;Seepferdchen mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70625;;;Seestern mit 5 Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70626;;;Papagei mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70627;;;Eisbär mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70628;;;Pelikan mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70629;;;Flamingo mit Glas-Steinen;Artikel mit Kristall-Glas rosa, gold-plattiert
70630;;;Nilpferd mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70631;;Majästätisch steht das Nashorn das und macht auch jenseits von Afrika eine gute Figur! Die Tischdekoration wirkt besonders edel durch 4 große geschliffene Glas-Kristalle und wunderschön gearbeitete feine Details. Die Oberfläche ist gold-plattiert.;Nashorn mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70632;;Das ist ein besonders schönes Exemplar einer Brillenschlange ( Kobra ) mit seinen feinen Details und dem besonders großen geschliffenen Glas-Kristall auf der Rückseite. Ihre Schätze, die beiden großen geschliffenen Glas-Kristalle verteidigt sie offensichtlich mit drohender eindrucksvoller Haltung und man sollte sich ihr wohl nur mit Vorsicht nähern! Aber keine Angst, diese tolle Tischdekoration ist völlig ungefährlich und aufgrund der gold-plattierten Oberfläche werden Sie lange Ihre Freude daran haben.;Schlange mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70633;;;Krokodil mit Glas-Steinen;Artikel mit Kristall-Glas,  gold-plattiert
70634;;;Känguruh mit Glas-Steinen;Artikel mit Kristall-Glas,  gold-plattiert
70635;;;Zebra emailliert mit Glas-Steinen;Artikel mit Kristall-Glas,  gold-plattiert
70636;;;Tiger mit Glas-Steinen topasfarben;Artikel mit Kristall-Glas,  gold-plattiert
70637;;Diese Nachbildung einer kleinen tanzenden Elfe ist liebevoll mit kleinen Details versehen. 4 große geschliffene Glas-Kristalle schmücken ihre Flügel und sie trägt ein Herz mit einem roten Glas-Stein in der rechten Hand. Die Oberfläche ist gold-plattiert. In der heutigen Fantasywelt gilt die Elfe als magisches Wesen. Ein besonderes Geschenk für einen anspruchsvollen Menschen und ein begehrtes Sammlerobjekt.;Elfe, mit Herz, Glas-Steinen;Schmetterlingselfe mit Herz zum Verschenken
