itemno;title;description;gallay-title;gallay-description
70021;;Oh wie romantisch! Ein absolutes Must-Have für Verliebte! Zwei fliegende Tauben sitzen auf einem Herz und sehen sich verliebt an, eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner. Noch wertvoller wird dieser tolle Tischschmuck durch 5 große geschliffene Glas-Kristalle, die Oberfläche ist gold-plattiert;Fliegende Tauben mit Herz, Glas-Steine;mit Kristall-Glas-Elementen
70022;;Oh wie romantisch! Ein absolutes Must-Have für Verliebte! Zwei miteinander verbundene Herzen als Symbol ewiger Liebe, hochwertig mit je einem großen geschliffenen Glas-Kristall, an dem Rahmen eines Teelichthalters. Eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner. Die Oberfläche ist hochwertig gold-plattiert, Lieferung inclusive einem Teelicht;Teelicht, Zwei Herzen, mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert, Lieferung mit Teelicht
70023;;Einmal über den Wolken schweben? Dieses außergewöhnliche Flugzeug lässt Sie davon träumen! 10 große geschliffene Glas-Kristalle schmücken den Doppeldecker, der Propeller und die Räder sind beweglich, die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und begehrtes Sammlerstück!;Flugzeug, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Propeller und Räder beweglich
70025;;Diese Nachbildung einer kleinen Elfe ist liebevoll mit kleinen Details versehen. Sie trägt 2 große geschliffene Glas-Kristalle in ihren Flügeln und einen tropfenförmigen Glas-Kristall in der Hand, die im Licht dezent funkeln. Die Oberfläche ist gold-plattiert. In der heutigen Fantasywelt gilt die Elfe als magisches Wesen. Ein besonderes Geschenk für einen anspruchsvollen Menschen und ein begehrtes Sammlerobjekt.;Elfe, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70026;;Dieses außergewöhnliche Geschenk macht auch bei stürmischer See eine gute Figur! Der exclusive 3-Master (Segelschiff) hat in jedem der 5 Segel einen  großen geschliffenen Glas-Kristall eingearbeitet, der dezent im Licht funkelt. Die Oberfläche ist hochwertig gold-plattiert. Eine tolle Überraschung und ein begehrtes Sammlerstück!;Segelschiff, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70029;;Auch wenn Sie an der Kurbel drehen, diesem nostalgischen Grammofon werden Sie keinen Ton entlocken! Diese exclusive Dekoration erinnert Sie an die Gute Alte Zeit. Der Grammofonkasten hat 6 große geschliffene Glas-Kristalle, die herrlich im Licht funkeln. Die Kurbel und auch die Platte sind beweglich. Die Oberfläche ist hochwertig gold-plattiert. Eine tolle Überraschung und ein begehrtes Sammlerstück!;Grammofon, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Platte und Kurbel beweglich
70037;;;Anhänger, Kugel kristall Aurore Boréale;Kristall-Glas, 30% Bleigehalt, AB: Aurore Boréale, Spiegeleffekt, Lüsterbehang
70057;;;Berg, kristall matt;-
70065;;;Berghöhle, klar peacock;-
70068;;;Leuchtturm, kristall klar;-
70079;;Dieses exclusive nostalgische Telefon hat 5 große und 10 kleine geschliffene Glas-Kristalle die dezent funkeln. Es ist gold-plattiert und der Hörer ist abnehmbar. Ein tolles Geschenk für einen anspruchsvollen Menschen und ein begehrtes Sammlerobjekt!;Telefon, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Hörer abnehmbar
70081;;Oh wie romantisch, dieser kleine Schmetterling hat ein wertvolles Herz gefunden! Der Schmetterling trägt in jedem Flügel einen großen geschliffenen Glas-Kristall, der in der Sonne in allen Regenbogenfarben schimmert. An dem Herz mit seitlich angedeuteten Spiralen hängt ebenfalls ein großer, beweglicher Glas-Kristall. Eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner!;Herz mit Schmetterling;Artikel mit Kristall-Glas, gold-plattiert
70082;;;Diamant, kristall klar;-
70083;;Ein außergewöhnlicher Eyecatcher nicht nur für TIERLIEBHABER! 3 Delfine springen über eine Stange, beweglich aufliegend, geschmückt von 6 großen geschliffenen Glas-Kristallen, gold-plattiert;Pendel mit 3 Delfinen;Artikel mit Kristall-Glas, gold-plattiert
70085;;;Pyramide, Tierkreiszeichen Wassermann;-
70086;;;Pyramide, Tierkreiszeichen Löwe;-
70090;;;Pyramide, Tierkreiszeichen Jungfrau;-
70091;;;Pyramide, Tierkreiszeichen Krebs;-
70092;;;Pyramide, Tierkreiszeichen Zwilling;-
70094;;;Pyramide, Tierkreiszeichen Stier;-
70100;;;Anhänger, Delfin, kristall matt;mit Anhängeröse
70115;;;Fensterschmuck, Doppelspiegel;kristall verspiegelt von beiden Seiten, mit weißer Schnur zum Aufhängen
70116;;Ein außergewöhnliches Geschenk nicht nur für MUSIKLIEBHABER! Schlagzeug mit Tomtom, Becken mit Ständer und großer Trommel sind mit 22 kleinen Glassteinen und zwei großen geschliffenen Glassteinen besetzt, die Oberfläche ist gold-plattiert. Damit können Sie keine Töne erzeugen, aber trotzdem das Herz eines lieben Menschen erfreuen!;Kleines Schlagzeug mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
70118;;;Fensterschmuck, Gesicht, AB matt;Lieferung ohne Schluppe, AB: Aurore Boréale Spiegeleffekt
70122;;;Fensterschmuck, mit innerem Spiegel;convex, AB: Aurore Boréale Spiegeleffekt, Lieferung ohne Schluppe
70125;;Ganz still und majestätisch sitzt der Frosch auf seinem Stein und wartet darauf, von Ihnen geküsst werden! Aber wertvoll ist er ohnehin schon mit den 3 großen geschliffenen Glas-Kristallen an seinem Körper und den dezent funkelnden Glas-Kristallen in seinen Augen. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und ein begehrtes Sammlerstück!;Frosch, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70126;;Diese Blumen werden niemals welken! Ein außergewöhnliches Geschenk nicht nur zum Muttertag! Wunderschöne kleine Kugelvase mit 6 großen geschliffenen Glas-Kristallen und 2 herausnehmbaren Blumen mit großem geschliffenen Glas-Kristall als Blüte, gold-plattiert;Vase mit Blumen, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Blumen herausnehmbar
70136;;;Briefbeschwerer, kristall matt/türkis;-
70138;;;Briefbeschwerer, kristall matt/rot;-
70147;;Mit diesem Sport-Auto (Cabrio) können Sie zwar nicht über den Highway düsen, aber es regt an, davon zu träumen! Dieses tolle Stück zeichnet sich aus durch raffinierte Details wie drehende Räder, detailverliebte Sitze, kleine funkelnde Glas-Kristalle als Scheinwerfer und je ein großer geschliffener Glas-Kristall an der Stelle, an der der Autobauer normalerweise die Tür einbaut. Die Oberfläche ist hochglänzend gold-plattiert. Ein tolles Geschenk und begehrtes Sammlerstück!;Sport-Auto ohne Verdeck mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
70164;;Wunderschön und majestätisch erscheint dieses pferdeähnliche Fabeltier, das als das Edelste aller Fabeltiere gilt und als Symbol für das Gute steht. In seinem Körper trägt es 3 große geschliffene Glas-Kristalle, die wunderschön in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Zum wahren Eyecatcher wird dieser Suncatcher an einer Fensterscheibe oder einem Spiegel, der Saugnapf zum Anbringen ist inclusive.;Suncatcher, Einhorn;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70165;;Dieses sehr exclusive Kleeblattkreuz mit 6 wunderschön funkelnden geschliffenen Glas-Steinen, die Oberfläche ist gold-plattiert, ist die Zierde jeder festlich gedeckten Tafel zu einem besonderen relegiösen Anlass. Das dreiblättrige Kleeblatt ist in der Symbolsprache ein altes Zeichen der Dreifaltigkeit (Vater, Sohn und Heiliger Geist).;Kreuz, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70169;;Dieser wunderschöne stolze Falke hat ein detailgetreues Federkleid und ist besonders wertvoll durch 4 große geschliffene Glas-Kristalle an den Flügeln. Die Augen bilden zwei kleine geschliffene Glas-Kristalle, die dezent im Licht funkeln. Die Oberfläche ist hochwertig gold-plattiert. Eine exclusive Dekoration nicht nur für Ornithologen und ein begehrtes Sammlerstück!;Falke, mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
70171;;Dieser Adler mit ausgebreiteten Flügeln hat 5 große geschliffene Glas-Kristalle die in allen Regenbogenfarben in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Ein außergewöhnlicher Eyecatcher und wunderschönes Geschenk! Ein begehrtes Sammlerobjekt, sind doch die Adler nach dem Löwen das beliebteste Wappentier!;Adler, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70203;;;Anhänger, Kugel faccettiert;Kristall-Glas, 30% Bleigehalt
70211;;Auch jenseits von Afrika findet man diesen GLÜCKSBRINGER! Außergewöhnliche Nachbildung eines Elefanten mit 4 großen und 2 kleinen geschliffenen Glas-Kristallen die dezent funkeln. Die Oberfläche ist gold-plattiert. Eine exclusive Dekoration für eine festlich gedeckte Tafel und ein begehrtes Sammlerobjekt! Der Elefant symbolisiert Weisheit, Klugheit, Geduld, Stärke, Güte und Hingabe. Er gilt außerdem als Glücksbringer für Liebende und verheißt eheliches Glück aufgrund seines sehr treuen Wesens.;Elefant, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70212;;So wertvoll wie unsere Mutter-Erde ist dieser kleine Globus mit seinen 6 großen geschliffenen Glas-Kristallen, die wunderschön in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Ein exclusives Geschenk und begehrtes Sammlerstück!;Globus, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Kugel dreht sich
70213;;Dieses wertvolle Vogelhäuschen hat leider keinen Bewohner, aber es bereitet uns trotzdem Freude! Die 7 großen geschliffenen Glas-Kristalle funkeln in allen Regenbogenfarben in der Sonne und die hochwertig glänzende, gold-plattierte Oberfläche lockt garantiert kleine und große Elstern an! Ein tolles Geschenk und wertvolles Sammlerstück!;Hängedekoration, Vogelhäuschen;Artikel mit Kristall-Glas, gold-plattiert
70214;;Glamourös schlägt dieser stolze Pfau sein Rad! Eine edle Tischdekoration mit 9 großen und  9 kleinen geschliffenen Glas-Kristallen, die in allen Regenbogenfarben im Licht funkeln. Der Körper des Pfau ist detailverliebt gearbeitet, die Oberfläche hochwertig gold-plattiert. Ein begehrtes Sammlerstück!;Pfau, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70215;;Dieses exclusive Pferd hat 2 große geschliffene Glas-Kristalle, die dezent funkeln. Die Oberfläche ist gold-plattiert. Eine tolle Überraschung für einen Pferdefreund und ein begehrtes Sammlerobjekt.;Pferd, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70218;;Für den Golfsport an sich ist ein Golfsack mit Wagen ein grundsätzliches Zubehör. Dieses exclusive Stück dient wohl eher der Dekoration, ist aber ebenso wertvoll. Seitlich wurden je 3 große geschliffene Glas-Kristalle eingearbeitet. Die Golfschläger sind herausnehmbar und die Räder beweglich. Die Oberfläche ist hochwertig gold-plattiert. Ein wunderschönes Geschenk nicht nur für Golf-Liebhaber und ein begehrtes Sammlerstück!;Golfsack, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich, Golfschläger herausnehmbar
70220;;Stolz und wunderschön funkelt dieser Halbmond mit seinem großen geschliffenen Glas-Kristall in der Sonne. Die Oberfläche ist hochwertig gold-plattiert. Besonders dekorativ ist er an einer Fensterscheibe oder einem Spiegel. Mit Saugnapf zum Befestigen inclusive.;Suncatcher, Mond, mit Glas-Steinen;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70221;;;Schnecke, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70225;;;Anhänger, Glas-Teufel, peacock matt;-
70229;;;Anhänger, Drache, kristall matt;-
70230;;Dieser hochwertig gefertigte weiße Elefant hat eine emaillierte Oberfläche und trägt eine reich verzierte Rückendecke mit topasfarbigen Glassteinen. Fein gestaltete Details wie Füße, Rüssel und Rückenschmuck sind silber-plattiert. Der weiße Elefant symbolisiert Klugheit und Kraft. Der als Geschenk gegebene Elefant soll Glück und Erfolge im Leben bringen. Ein tolles Geschenk und ein begehrtes Sammlerobjekt!;Elefant, emailliert, mit Glas-Steinen;Reit-Elefant, reich verziert, topazfarben emailliert, silber-plattiert
70253;;Mit diesem Windlicht in dezentem Design zaubern Sie das ganze Jahr ein romantisches Licht, egal ob auf dem Terrassentisch oder auf einer festlich gedeckten Tafel. Das Windlicht hat einen schweren Messingfuß und einen tollen Glaskörper der wunderschön das Licht bricht. Ein Teelicht ist inclusive. Ein tolles Geschenk für jeden Anlass!;Windlicht, Messingfuß;-
70255;;;Anhänger, Kreuz, Bleikristall blau;-
70257;;;Diamant, kristall klar;-
70258;;Ganz langsam kriecht der Frosch über sein Blatt und sucht sich eine sonnige Stelle, an der sein großer geschliffener Glas-Kristall besonders schön funkelt. Der Suncatcher eignet sich aber auch zum Anbringen an einer Fensterscheibe oder einem Spiegel, der Saugnapf ist inclusive. Die Oberfläche ist hochwertig gold-plattiert.;Suncatcher, Frosch;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70263;;;Anhänger, Dreieck gewölbt;Kristall-Glas, 30% Bleigehalt
70264;;;Anhänger, Dreieck gewölbt;Kristall-Glas, 30% Bleigehalt
70266;;;Anhänger, Konus, kristall klar;Kristall-Glas, 30% Bleigehalt
70273;;Flink huscht die kleine Eidechse über ihr Blatt und sucht sich ein sonniges Plätzchen, wo seine 2 großen geschliffenen Glas-Kristalle in allen Regenbogenfarben das Licht brechen. Die Oberfläche ist hochwertig glänzend gold-plattiert. Besonders dekorativ ist der kleine Suncatcher aber an einer Fensterscheibe oder einem Spiegel, der Saugnapf zum Befestigen ist inclusive.;Suncatcher, Eidechse;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70275;;;Anhänger, Schwinge, kristall klar;Kristall-Glas, 30% Bleigehalt
70278;;;Anhänger, Hexe, kristall klar;-
70285;;;Fensterschmuck, Muschel, kristall klar;hellgrün, Muschel 28mm, Gesamtlänge 88mm
70287;;;Fensterschmuck, Gespenst, matt AB;AB: Aurore Boréale, Spiegeleffekt
70288;;;Fensterschmuck, Gespenst, kirstall matt;-
70289;;;Anhänger, Gepenst, Glas opal weiss;-
70290;;;Anhänger, Kürbis, topas;-
70300;;Ein außergewöhnliches Geschenk für einen außergewöhnlichen Menschen! Nicht nur zur Weihnachtszeit werden Sie mit diesem ENGEL MIT SPEER viel Freude haben. Seine Flügel und auch das Kleid zieren große geschliffene Glas-Kristalle die wunderschön im Lichterglanz funkeln. Die Oberfläche ist hochwertig gold-plattiert.;Engel mit Speer, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70301;;Durch eine Note allein erklingt noch lange keine Musik, aber sie kann unsere Seele zum Klingen bringen! Diese wunderschöne Note mit 2 großen und 4 kleinen geschliffenen Glas-Kristallen schmückt Ihren Weihnachtsbaum und bringt sein festliches Licht zum funkeln. Die Oberfläche ist hochwertig gold-plattiert.;Hängedekoration, Note;Artikel mit Kristall-Glas, gold-plattiert
70302;;;Elfe, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70303;;Süße Sachen passen wohl nicht in diesen Nikolausstiefel, aber trotzdem können Sie damit einem lieben Menschen eine Freude bereiten! Seine 5 großen geschliffenen Glas-Kristalle funkeln herrlich im Lichterglanz. Das kleine Stück schmückt dezent Ihr Weihnachtsgesteck oder hängt mittels der inclusiven Gummilitze an Ihrem Weihnachtsbaum.;Hängedekoration, Nikolausstiefel;Artikel mit Kristall-Glas, gold-plattiert
70304;;Ein hochwertiges Geschenk für einen besonders lieben Menschen! Die Spieluhr ist 80mm im Durchmesser und mit Drehfuß ca 43mm hoch, sie ist mit kleinem Spiegelmosaik ummantelt und spielt das Musikstück -Memory- aus dem Musical -CATS-. Auf der Spieluhr wird ein hochwertig gearbeiteter Pfau mit aufgestelltem Rad, verschraubt. Er ist 85mm hoch und 13mm breit und ist verziert mit 9 großen geschliffenen Steinen aus Kristall-Glas, Oberfläche gold-plattiert;Spieluhr, Pfau, mit Glas-Steinen;Artikel mit Kristall-Glas, Musik 'MEMORY' aus dem Musical 'CATS'
70307;;Wie der Schuh einer PRINZESSIN, dieser wunderschöne DAMENSCHUH ist der Traum jeder FRAU! 21 kleine geschliffene Glas-Kristalle machen dieses Stück zu einem außergewöhnlichen Eyecatcher, die Oberfläche ist hochwertig gold-plattiert, Ein tolles Geschenk und ein begehrtes Sammlerobjekt!;Damenschuh, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70309;;;Musiknote, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70310;;Leider entlocken Sie den Saiten dieser wunderschön detialverliebt gearbeiteten Nachbildung einer Harfe keinen Ton, aber sie ist ein exclusives Dekostück für einen ganz besonderen MUSIKLIEBHABER. Geschmückt wird sie von sieben eingefassten geschliffenen Glas-Kristallen die wunderschön in allen Regenbogenfarben im Licht funkeln. Die Oberfläche ist hochwertig gold-plattiert. Ein wunderschönes Geschenk und begehrtes Sammlerstück!;Harfe, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70311;;;Diamant, Bleikristall;-
70312;;;Anhänger, Zylinder faccettiert;Schräger Kreiszylinder - Kristall-Glas, 30% Bleigehalt
70313;;;Stern mit Sockel, kristall klar;-
70323;;;Diamant, kristall klar;-
70327;;Ein hochwertiges Geschenk für einen besonders lieben Menschen! Die Spieluhr ist 80mm im Durchmesser und mit Drehfuß ca 43mm hoch, sie ist mit kleinem Spiegelmosaik ummantelt und spielt das Musikstück -Memory- aus dem Musical -CATS-. Auf der Spieluhr wird eine hochwertig gearbeitete Figur Elfe verschraubt. Sie ist 105x58 mm, in ihrem Flügel trägt sie 2 große geschliffene Steine aus Kristall-Glas und in der Hand einen geschliffenen Tropfen aus Kristall-Glas, Oberfläche gold-plattiert;Spieluhr, Elfe, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Musik: MEMORY aus dem Musical CATS
70335;;;Spiegel, Achteck, Yin-Yang;zum Aufkleben mit Klebepads
70336;;;Suncatcher, Schmetterling;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70339;;;Kugel, mit Hyperion, grün;-
70340;;;Kugel, mit Hyperion, amethyst;-
70351;;;Kugel, mit Hyperion, rosa;-
70360;;;Affe, mit Glas-Steinen;-
70362;;;Fotoständer, Herz, orange/multi;-
70363;;;Fotoständer, Fisch, gelb/multi;-
70364;;;Fotoständer, Schmetterling, blau/türkis;-
70365;;Mit diesem Motorrad können Sie zwar nicht über den Route 66 düsen, aber es regt an, davon zu träumen! Dieses tolle Stück zeichnet sich aus durch raffinierte Details wie drehende Räder, beweglicher Lenker, detailverliebte Sitze, kleine Glas-Kristalle als Scheinwerfer und Rücklicht und 6 große geschliffene Glas-Kristalle die wunderschön im Licht funkeln. Ein tolles Geschenk für Motorradfreunde und ein begehrtes Sammlerstück!;Motorrad, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Lenker und Räder beweglich
70366;;Wunderschönes, sehr exclusives Schaukelpferd mit 4 großen und 16 kleinen geschliffenen Glas-Kristallen die dezent funkeln. Die Oberfläche ist gold-plattiert. Ein tolles Geschenk zur Geburt eines Kindes und ein begehrtes Sammlerobjekt.;Schaukelpferd, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70367;;Eine Tischdekoration mit Schmunzelfaktor, diese tolle Nachbildung erinnert an ein Kult-Auto Käfer, wer kennt ihn nicht und verbindet damit eigene Erinnerungen. Besonders hochwertig durch 5 große geschliffene Glas-Kristalle und hochglänzende gold-plattierte Oberfläche sowie viele kleine Details wie bewegliche Räder. Ein tolles Geschenk und ein begehrtes Sammlerobjekt!;Kleines Auto, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich
70368;;;Truck, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich, Hänger abkoppelbar
70375;;Ganz grazil bewegen sich die beiden Elfen aus Zinn. Die zarten Flügel sind austauschbar und werden mit einem Magnet an der Figur befestigt. Die gesamte Figur ist 105mm hoch. Elfen sind Lichtgestalten oder Naturgeister, die ursprünglich aus der nordischen Mythologie stammen und heute als Glückssymbole dienen. Ein besonderes Geschenk für den exclusiven Geschmack und ein begehrtes Sammlerstück!;Zinnfigur, Elfen, Jenna u. Leah;Flügel sind austauschbar, werden mit Magnet an der Zinnfigur befestigt
70376;;Ganz grazil bewegt sich die kleine Elfe mit ihrem Springseil. Die Figur ist sehr detailverliebt gearbeitet. Die zarten Flügel sind austauschbar und werden mit einem Magnet an der Figur befestigt. Die gesamte Figur ist 65mm hoch und aus Zinn. Elfen sind Lichtgestalten oder Naturgeister, die ursprünglich aus der nordischen Mythologie stammen und heute als Glückssymbole dienen. Ein besonderes Geschenk für den exclusiven Geschmack und ein begehrtes Sammlerstück!;Zinnfigur, Elfe mit Springseil, Corinn;Flügel sind austauschbar, werden mit Magnet an der Zinnfigur befestigt
70379;;Ganz grazil bewegt sich die kleine Elfe wie eine Tänzerin aus der Blüte. Die Figur ist sehr detailverliebt gearbeitet. Die zarten Flügel sind austauschbar und werden mit einem Magnet an der Figur befestigt. Die gesamte Figur ist 68mm hoch und aus Zinn. Elfen sind Lichtgestalten oder Naturgeister, die ursprünglich aus der nordischen Mythologie stammen und heute als Glückssymbole dienen. Ein besonderes Geschenk für den exclusiven Geschmack und ein begehrtes Sammlerstück!;Zinnfigur, Elfe in Ballettpose;Flügel sind austauschbar, werden mit Magnet an der Zinnfigur befestigt
70383;;;Schmetterling, emaillierter Zweig, Glas;Artikel mit Kristall-Glas, gold-plattiert
70405;;;Katze, kristall klar;-
70445;;Eingerahmt von 8 kleinen KÄTZCHEN kommt Ihr Foto erst richtig zur Geltung. Dieser dekorative Glas-Bilderrahmen ist für Fotos im Format 9x13mm geeignet, auf der Rückseite befindet sich eine Vorrichtung zum Aufstellen und eine kleine Schatulle zum bequemen Einschieben des Fotos.;Bilderrahmen, Katze;passend für Foto 9x13
70446;;Ein außergewöhnlicher Bilderrahmen für das Foto eines besonderen Menschen! Eingerahmt von 13 Ginkgo-Blättern, silber-farbig, kommt Ihr Foto erst richtig zur Geltung. Dieser dekorative Glas-Bilderrahmen ist für Fotos im Format 10x15mm geeignet, auf der Rückseite befindet sich eine Vorrichtung zum Aufstellen und eine kleine Schatulle zum bequemen Einschieben des Fotos.-Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.-;Bilderrahmen, Ginkgo;passend für Foto 10x15
70448;;Dieser funkelnde Stegosaurus gehört einfach in eine Dinosaurier-Sammlung. Die gesamte Figur ist aus geschliffenem Glas. Knochenplatten und Schwanzstacheln sind aus gefrostetem Glas, matt, und detailgetreu angeklebt. Wunderschön bricht diese Figur das Sonnenlicht und funkelt in allen Regenbogenfarben. Ein besonderes Geschenk für den exclusiven Geschmack und ein begehrtes Sammlerstück!;Dinosaurier, kristall klar;-
70450;;Imposant, wie Zauberer Merlin, steht diese exclusive Figur und droht förmlich mit dem Zauberbuch! Wehe wer ihn reizt! Die Dekorationsfigur besticht durch viele kleine Details und wird besonders wertvoll mit den 2 großen geschliffenen Glas-Kristallen die wunderschön in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk für Fantasy-Freunde und ein begehrtes Sammlerstück!;Zauberer, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70453;;;Anhänger, Delfin, kristall matt;-
70463;;;Anhänger, Sonnengesicht, matt AB;AB: Aurore Boréale Spiegeleffekt
70464;;;Anhänger, Sonne, matt AB;AB: Aurore Boréale Spiegeleffekt
70467;;Dieser wunderschöne Teelicht-Halter darf auf keiner festlich gedeckten Tafel fehlen! Ein kleiner ENGEL MIT TROMPETE sitzt auf der Halterung und wartet darauf, das sich der Lichtschein des dahinter befindlichen Teelichtes in seinen 2 großen geschliffenen Glas-Kristallen bricht. Die Oberfläche ist silber-plattiert und anlaufgeschützt.;Teelicht, Engel, mit Glas-Steinen;Artikel mit Kristall-Glas, silber-plattiert, anlaufgeschützt
70470;;;Elfe, mit Glas Stein kristall klar;Artikel mit Kristall-Glas, silber-plattiert, anlaufgeschützt
70471;;Gerade zur Weihnachtszeit ist ein kleiner Engel (Putte) besonders beliebt. Diesen Engel mit Querflöte hängen Sie am besten mittels Gummilitze an den Weihnachtsbaum oder stecken ihn an einen Weihnachtskranz. Er sieht putzig aus, mit den vielen kleinen Details und ist besonders wertvoll mit den beiden großen geschliffenen Glas-Kristallen in den Flügeln. Die Oberfläche ist hochwertig gold-plattiert.;Hängedekoration, Engel;Artikel mit Kristall-Glas, gold-plattiert
70472;;Diese dekoraive Weihnachtsdekoration könnte schon bald an Ihrem Tannenbaum hängen! In den 7 großen geschliffenen Glas-Kristallen bricht sich wunderschön das Licht der Baumbeleuchtung. Die Oberfläche ist gold-plattiert.;Hängedekoration, Glocke;Artikel mit Kristall-Glas, gold-plattiert
70475;;Nun steht die alte Fregatte Santa Maria nur noch im Hafen auf dem Trockendock, aber sie hat viel von der Welt gesehen und ihren berühmten Seefahrer Christoph Kolumbus so weit begleitet! Diese detailverliebte Nachbildung des berühmten Schiffes ist schon eine Augenweide! Exclusiv auch durch die 3 großen geschliffenen Glas-Kristalle, die herrlich im Licht funkeln. Ein tolles Geschenk für den besonderen Anspruch und ein begehrtes Sammlerobjekt!;Santa Maria, mit Glas-Steinen;gold-plattiert
70476;;Oh ja, das ist inzwischen auch ein Oldtimer geworden und auch im Original steigt seine Beliebtheit von Tag zu Tag! Dieses kleine Auto, wie ein Trabant, können sich Liebhaber gern in die Vitrine stellen. Wunderbar die beweglichen Räder, die vielen Scheinwerfer aus geschliffenen Glas-Kristallen und die 5 großen geschliffenen Glas-Kristalle an der Karosserie werten das gute Stück noch zusätzlich auf. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk für den besonderen Anspruch und ein begehrtes Sammlerstück!;Kleines Auto, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Räder beweglich
70485;;;Glasfuß, passend für Kugeln 30-100mm;-
70490;;Diese tolle Tischdekoration gefällt nicht nur im Sternzeichen Waage (libra) 24. September - 23. Oktober Geborenen sondern ist auch ein tolles Symbol für Gerechtigkeit. Der Waagebalken und die Waagschalen sind beweglich und halten hier das Gleichgewicht, da das Gewicht von je 3 großen geschliffenen Glas-Kristallen auf jeder Seite ausgependelt wird. Die Oberfläche ist hochwertig gold-plattiert. Dieses exclusive Stück ist auch ein begehrtes Sammlerobjekt!;Waage, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Waagschalen beweglich
70491;;Glamourös schlägt dieser stolze Pfau sein Rad! Eine edle Tischdekoration mit 5 großen und 10 kleinen geschliffenen Glas-Kristallen, die in allen Regenbogenfarben im Licht funkeln. Der Körper des Pfau ist detailverliebt gearbeitet, die Oberfläche hochwertig gold-plattiert. Ein begehrtes Sammlerstück!;Pfau, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
