itemno;title;description;abe-title;abe-description
119013-42;;;Kette, Schlange vierkant, Silber 925;poliert - Collier abweichernd nur 41cm lang
119013-45;;;Kette, Schlange vierkant, Silber 925;-
119013-50;;;Kette, Schlange vierkant, Silber 925;-
119014-17;;;Armband, Schlange vierkant, KB, 925;oxydiert (geschwärzt) und diamantiert mit Sternchen-Muster
119014-19;;;Armband, Schlange vierkant, KB, 925;oxydiert (geschwärzt) und diamantiert mit Sternchen-Muster
119014-40;;;Kette, Schlange vierkant, KB, 925;oxydiert (geschwärzt) und diamantiert mit Sternchen-Muster
119014-42;;;Kette, Schlange vierkant, KB, 925;oxydiert (geschwärzt) und diamantiert mit Sternchen-Muster
119014-45;;;Kette, Schlange vierkant, KB, 925;oxydiert (geschwärzt) und diamantiert mit Sternchen-Muster
119017-27;;;Fußkette, Schlange rund FR, 925;Länge verstellbar von 20, 22, 23, 26 bis 27cm, Glasperlen und 2 Herzen, weiß kristall, auch als Armband verwendbar
119018-19;;;Armband, Y-Schlangenkette, Silber 925;mehrreihig
119018-41;;;Kette, Y-Schlangenkette, Silber 925;mehrreihig
119019-19;;;Armband, Schlange rund oxyd-silber, 925;Farbeffekt entsteht durch zusätzliche diagonale Schwärzung (Oxydierung)
119019-40;;;Kette, Schlange rund oxyd-silber, 925;Farbeffekt entsteht durch zusätzliche diagonale Schwärzung (Oxydierung)
119019-42;;;Kette, Schlange rund oxyd-silber, 925;Farbeffekt entsteht durch zusätzliche diagonale Schwärzung (Oxydierung)
119019-45;;;Kette, Schlange rund oxyd-silber, 925;Farbeffekt entsteht durch zusätzliche diagonale Schwärzung (Oxydierung)
119020-45;;;Kette, Y Schlange mit 3 Kettchen, 925;am Y-Teil hängen 3 Kettchen je 1x mit Kegel 95mm lang, mit Olive 75mm lang, mit Kugel 60mm lang
119022-42;;Diese raffiniert gearbeitete Schlangenkette aus 925er Silber hat abwechselnde Musterabschnitte von jeweils ca. 1cm Länge. Die Oberfläche ist diamantiert. Dieses Schmuckstück könnte sich schnell zu Ihrem Lieblingsstück entwickeln!;Kette Schlange gemustert, Silber 925;abwechselnd Schlangenkette 4-kant mit Musterabschnitten Schlange verdreht, jeweils ca. 1cm lang, diamantiert
119022-45;;Diese raffiniert gearbeitete Schlangenkette aus 925er Silber hat abwechselnde Musterabschnitte von jeweils ca. 1cm Länge. Die Oberfläche ist diamantiert. Dieses Schmuckstück könnte sich schnell zu Ihrem Lieblingsstück entwickeln!;Kette Schlange gemustert, Silber 925;abwechselnd Schlangenkette 4-kant mit Musterabschnitten Schlange verdreht, jeweils ca. 1cm lang, diamantiert
119028-19;;;Armband, Y-Schlangenkette, Silber 925;mehrreihig
120001-38;;;Kette, Schlange flach diamantiert 925;Vorderseite der Kette gleichmäßig schräg diamantiert, Rückseite glatt
120001-40;;;Kette, Schlange flach diamantiert 925;Vorderseite der Kette gleichmäßig schräg diamantiert, Rückseite glatt
120001-42;;;Kette, Schlange flach diamantiert 925;Vorderseite der Kette gleichmäßig schräg diamantiert, Rückseite glatt
120002-19;;;Armband, Schlange flach, Silber 925;-
120002-21;;;Armband, Schlange flach, Silber 925;-
120002-40;;;Kette, Schlange flach, Silber 925;-
120002-42;;;Kette, Schlange flach, Silber 925;-
120002-45;;;Kette, Schlange flach, Silber 925;-
120002-50;;;Kette, Schlange flach, Silber 925;-
120004-19;;;Armband 2,5mm Schlange-flach Silber 925;-
120004-38;;;Kette 2,5mm Schlange-flach Silber 925;-
120004-42;;;Kette 2,5mm Schlange-flach Silber 925;-
