itemno;title;description;gallay title;gallay description
430064;;Hochwertig gearbeiteter Ohrstecker in bester Juwelierqualität für die anspruchsvolle Dame. Oberfläche matt und glänzend mit kleinem Zirkonia, 375er Gold (9 Karat);Stecker, mit CZ, glzd-matt, 9Kt GOLD;Zirkonia
430070;;;Anhänger, bicolor, Zirkonia, 9Kt GOLD;-
430073;;;Stecker, bicolor, Zirkonia, 9Kt GOLD;-
430074;;Ein wunderschönes Geschenk für die anspruchsvoller DAME! dezenter Anhänger mit kleinem beweglichen Zirkonia, 11x7mm, mit Schluppe 375er Gold (9 Karat);Anhänger, Zirkonia beweglich, 9Kt GOLD;Zirkonia ist beweglich
430076;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleiner Kugel und Spirale aus 585er Gold (14 Karat);Nasenstecker, Kugel, 18Kt GOLD;Piercing mit Spirale
430083;;Wunderschöner Stecker nicht nur für Delfinliebhaber! filigran gearbeiteter Goldstecker mit matter Oberfläche und Diamantschliff, 375er Gold, 9 Karat, Der Delfin verkörpert Kraft, Sicherheit, Geborgenheit  und Lebensfreude und gilt als der Freund des Menschen.;Stecker, Delfin diamantiert 9Kt GOLD;-
430084;;;Anhänger, Zuchtperle oval, 9Kt GOLD;Süßwasserzuchtperle
430086;;Dieses hochwertig gearbeitete Kreuz in bester Juwelierqualität aus 585er Gold, 14 Karat, die Oberfläche ist zart diamantiert und glänzend ist ein besonderes Geschenk zur Taufe, Konfirmation oder Kommunion! Ein besonderer Eyecatcher als Ausdruck tiefster Religiösität und als Talisman mit Gottes Segen.;Anhänger, kleines Kreuz, 14Kt GOLD;-
430087;;filigrane Nachbildung eines Ginkgo-Blattes aus 375er Gold, 9 Karat, Oberfläche matt. Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Stecker, 9mm Ginkgoblatt matt 9Kt GOLD;-
430088;;Verschenken Sie doch mal ein Herz als besonderes Zeichen der Liebe! Wunderschöner Ohrstecker kleines Herz mit feinem Diamantschliff aus 585er Gold (14 Karat);Stecker, kl. Herz diam matt, 14Kt GOLD;diamantiert
430090;;Wunderschöner Anhänger nicht nur für Delfinliebhaber! Goldstecker, 375er Gold (9 Karat), kleiner Delfin, Oberfläche glänzend, Der Delfin verkörpert Kraft, Sicherheit, Geborgenheit und Lebensfreude und gilt als Freund des Menschen.;Anhänger, kleiner Delfin, 9Kt GOLD;glänzend
430092;;;Stecker, Halbcreole, Zirkonia, 9Kt GOLD;-
430096;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleinem Hufeisen und Spirale aus 750er Gold (18 Karat);Nasenstecker, Hufeisen, 18Kt GOLD;Piercing mit Spirale
430098;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleinem Zirkonia und Spirale aus 750er Gold (18 Karat), Stiftstärke 0,72mm;Nasenstecker, mit Zirkonia, 18Kt GOLD;Piercing mit Spirale, Stiftstärke 0,6, Zirkonia
430100;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleinem Herz und Spirale aus 750er Gold (18Karat);Nasenstecker, kleines Herz, 18Kt GOLD;Piercing mit Spirale, Stiftstärke 0,64
430102;;filigran gearbeiteter Ohrstecker, kleiner Bogen, matt und diamantiert, 333er Gold (8 Karat), Ein tolles Schmuckstück für alle Gelegenheiten.;Stecker, Blättchen diamantiert 8Kt GOLD;-
