itemno;title;description;abe-title;abe-description
30068-64;;;Ring Lapislazuli gold-plattiert 3 Micron;Naturstein Lapislazuli 8x6mm, matt mit Einschlüssen und Kerben, umrahmt von 12 kleinen ovalen Zirkonias weiß
30069-56;;;Ring, Zirkonia, gold-plattiert 3 Micron;Blütenform, großer runder Zirkonia 5mm umrandet von vielen kleinen Zirkonias
30069-58;;;Ring, Zirkonia, gold-plattiert 3 Micron;Blütenform, großer runder Zirkonia 5mm umrandet von vielen kleinen Zirkonias
30069-60;;;Ring, Zirkonia, gold-plattiert 3 Micron;Blütenform, großer runder Zirkonia 5mm umrandet von vielen kleinen Zirkonias
30069-62;;;Ring, Zirkonia, gold-plattiert 3 Micron;Blütenform, großer runder Zirkonia 5mm umrandet von vielen kleinen Zirkonias
30069-64;;;Ring, Zirkonia, gold-plattiert 3 Micron;Blütenform, großer runder Zirkonia 5mm umrandet von vielen kleinen Zirkonias
30070-54;;;Ring, glänzend, gold-plattiert 3 Micron;-
30070-56;;;Ring, glänzend, gold-plattiert 3 Micron;-
30070-58;;;Ring, glänzend, gold-plattiert 3 Micron;-
30070-60;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-54;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-56;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-58;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-60;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-62;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-64;;;Ring, glänzend, gold-plattiert 3 Micron;-
30071-66;;;Ring, glänzend, gold-plattiert 3 Micron;-
30074-60;;;Ring, gold-plattiert;3 Streifen breit
30074-64;;;Ring, gold-plattiert;3 Streifen breit
30081-62;;;Ring, gr.Onyx, gold-plattiert;Onyx
30081-64;;;Ring, gr.Onyx, gold-plattiert;Onyx
30081-66;;;Ring, gr.Onyx, gold-plattiert;Onyx
30081-68;;;Ring, gr.Onyx, gold-plattiert;Onyx
30085-58;;;Ring, kl. Zirkonia, gold-plattiert;Dreieck, Zirkonia
30085-60;;;Ring, kl. Zirkonia, gold-plattiert;Dreieck, Zirkonia
30085-62;;;Ring, kl. Zirkonia, gold-plattiert;Dreieck, Zirkonia
30085-64;;;Ring, kl. Zirkonia, gold-plattiert;Dreieck, Zirkonia
30085-66;;;Ring, kl. Zirkonia, gold-plattiert;Dreieck, Zirkonia
30097-68;;;Ring, mit Delfin, gold-plattiert;-
30098-50;;;Ring, Elefant, gold-plattiert;-
30098-54;;;Ring, Elefant, gold-plattiert;-
30104-62;;;Ring, Waben-Muster, gold-plattiert;-
30104-64;;;Ring, Waben-Muster, gold-plattiert;-
30104-66;;;Ring, Waben-Muster, gold-plattiert;-
30106-62;;;Ring, Siegelring-Onyx, gold-plattiert;Onyx
30106-64;;;Ring, Siegelring-Onyx, gold-plattiert;Onyx
30106-68;;;Ring, Siegelring-Onyx, gold-plattiert;Onyx
30106-70;;;Ring, Siegelring-Onyx, gold-plattiert;Onyx
30126-52;;;Ring, glzd, mit Rand;-
30126-54;;;Ring, glzd, mit Rand;-
30149-54;;;Ring, durchbrochen, gold-plattiert;-
30149-70;;;Ring, durchbrochen, gold-plattiert;-
30151-54;;;Ring, 7, Siegelring diam;Herrenring mit Strahlenmuster, diamantiert
30151-56;;;Ring, 7, Siegelring diam;Herrenring mit Strahlenmuster, diamantiert
30151-70;;;Ring, 7, Siegelring diam;Herrenring mit Strahlenmuster, diamantiert
30159-68;;;Ring, langer Streifen, bicolor;-
30159-70;;;Ring, langer Streifen, bicolor;-
30159-72;;;Ring, langer Streifen, bicolor;-
30163-68;;;Ring, 4, bicolor glzd;-
30163-70;;;Ring, 4, bicolor glzd;-
30163-74;;;Ring, 4, bicolor glzd;-
30171-58;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert, sandmatt und beweglich, diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30171-62;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert, sandmatt und beweglich, diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30174-56;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30174-60;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30174-64;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30175-54;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30175-56;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30175-60;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30175-68;;;Ring, 5mm gold-plattiert sandmatt;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-54;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-56;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-58;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-60;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-62;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-64;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-66;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30176-68;;;Ring, 5mm gold-plattiert matt-glzd;Freundschaftsring, mattiert-diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-54;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-56;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-58;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-60;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-62;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-64;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30177-66;;;Ring, 6mm, gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-54;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-56;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-60;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-62;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-64;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-66;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30178-68;;;Ring, 6mm gold-plattiert;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30179-56;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert und beweglich, quergestreift diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30179-62;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert und beweglich, quergestreift diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30179-64;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert und beweglich, quergestreift diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30179-66;;;Ring, gold-plattiert rhodiniert;2-teiliger Ring, oberer Teil rhodiniert und beweglich, quergestreift diamantiert, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30181-56;;;Ring, rot-marmor, gold-plattiert;rot-marmor Naturstein, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30181-58;;;Ring, rot-marmor, gold-plattiert;rot-marmor Naturstein, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30181-60;;;Ring, rot-marmor, gold-plattiert;rot-marmor Naturstein, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30181-62;;;Ring, rot-marmor, gold-plattiert;rot-marmor Naturstein, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30184-56;;;Ring, gold-plattiert, Zirkonia;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30184-58;;hochwertig gefertigter XXL Fingerring in bester Juwelierqualität durch 3 GOLD-Schichten, gold-plattiert;Ring, gold-plattiert, Zirkonia;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30184-60;;hochwertig gefertigter XXL Fingerring in bester Juwelierqualität durch 3 GOLD-Schichten, gold-plattiert;Ring, gold-plattiert, Zirkonia;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30184-62;;hochwertig gefertigter XXL Fingerring in bester Juwelierqualität durch 3 GOLD-Schichten, gold-plattiert;Ring, gold-plattiert, Zirkonia;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30185-56;;;Ring, gold-plattiert, Delfinmuster;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30185-60;;;Ring, gold-plattiert, Delfinmuster;Freundschaftsring, hohe Qualität durch 3 GOLD-Schichten, gold-plattiert
30186-54;;;Ring, gold-plattiert, rhodiniert;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert, mit 4 Streifen rhodiniert
30186-60;;;Ring, gold-plattiert, rhodiniert;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert, mit 4 Streifen rhodiniert
30188-54;;;Ring, 3mm gold-plattiert Zirkonia;hohe Qualität durch 3 GOLD-Schichten, gold-plattiert, mit mehreren Zirkonias
