month	fnsku	sku	product-name	average-quantity	end-quantity	fulfillment-center-id	detailed-disposition	country
09/2014	X0007OBNHV	91254	Charm heart silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VN9WZ	04658	Necklace drop red-marbled-matt 100cm	5.0	5	LTN1	SELLABLE	GB
09/2014	X0007OBCUJ	00607	Necklace red 42cm 42cm	2.0	2	LTN1	SELLABLE	GB
09/2014	X0008VNVLJ	01156	Earring clip-on ocal brown marbled	1.43	0	LTN1	SELLABLE	GB
09/2014	X0005JOYSN	01132	Necklace mouse black-brass 90cm	4.0	4	LTN1	SELLABLE	GB
09/2014	X0008VNUTR	04762	Earrings clip dark blue marbeled	2.0	2	LTN1	SELLABLE	GB
09/2014	X0004Y69HX	90948	Pendant religious medal allah silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0007OBHA9	90084	Pendant zirconia heart silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VNXJJ	06659	Earring clip-on trapezium brown	2.0	2	LTN1	SELLABLE	GB
09/2014	X0003Q8HMH	00239	Necklace penguin antique-silver 90cm	7.0	7	LTN1	SELLABLE	GB
09/2014	X0003R7ROF	90201	Pendant friendship yin-yang silver 925	1.83	0	LTN1	SELLABLE	GB
